x_p       y_p       z_p       md1_p     m1z_p     ph1_p     x0s_p     y0s_p     Z0s_p   x1_p  y1_p    z1_p  x2_p   y2_p  z2_p  dc1_p   dc2_p  d_dc1   d_dc2  radius  mod2_p
   -60.728   -89.758    -3.453     0.087     0.015   -56.808   -60.836   -89.948    -4.063   -61.000   -86.000     0.000     0.000     0.000     0.000        33.750       0.00000   0.07399   0.00000   1.00000   0.00000   0.00000
   -60.757   -89.846    -2.722     0.069     0.019   -76.388   -60.798   -90.006    -3.453   -61.000   -86.000     0.000     0.000     0.000     0.000        33.656       0.00000   0.06844   0.00000   1.00000   0.00000   0.00000
   -60.562   -89.835    -1.932     0.172     0.020   -39.892   -60.785   -90.059    -2.722   -61.000   -86.000     0.000     0.000     0.000     0.000        34.956       0.00000   0.06146   0.00000   1.00000   0.00000   0.00000
   -60.457   -89.945    -2.494     0.148    -0.014   -34.934   -60.680   -90.147    -1.932   -61.000   -86.000     0.000     0.000     0.000     0.000        37.997       0.00000   0.05301   0.00000   1.00000   0.00000   0.00000
   -60.394   -90.171    -2.035     0.100     0.012     3.896   -60.585   -90.214    -2.494   -61.000   -86.000     0.000     0.000     0.000     0.000        41.474       0.00000   0.05455   0.00000   1.00000   0.00000   0.00000
   -60.368   -90.173    -2.703     0.072    -0.017   -13.724   -60.505   -90.208    -2.035   -61.000   -86.000     0.000     0.000     0.000     0.000        42.082       0.00000   0.05423   0.00000   1.00000   0.00000   0.00000
   -60.364   -90.101    -1.420     0.079     0.032   -58.008   -60.450   -90.222    -2.703   -61.000   -86.000     0.000     0.000     0.000     0.000        43.279       0.00000   0.04717   0.00000   1.00000   0.00000   0.00000
   -60.212   -90.216    -1.372     0.119     0.001    -7.154   -60.417   -90.275    -1.420   -61.000   -86.000     0.000     0.000     0.000     0.000        42.731       0.00000   0.04596   0.00000   1.00000   0.00000   0.00000
   -60.066   -90.150    -1.526     0.161    -0.004   -27.447   -60.324   -90.287    -1.372   -61.000   -86.000     0.000     0.000     0.000     0.000        42.359       0.00000   0.04215   0.00000   1.00000   0.00000   0.00000
   -59.995   -90.137    -0.518     0.153     0.026   -42.180   -60.211   -90.345    -1.526   -61.000   -86.000     0.000     0.000     0.000     0.000        43.447       0.00000   0.04228   0.00000   1.00000   0.00000   0.00000
